location_id,organization_id,name,aka,accessibility,coordinates,description,emails,location_hours,location_languages,short_desc,transportation
"r0pfe5vyth869bFxcqz1CIB7w","uQGM9xK9waKG5xnC3wE1NhmO6","Schaberg Branch","","ramp","0.0,0.0","Provides general reading materials, including large-type books, DVD's and CDs, books on CD and some Spanish language materials to children. Offers children's programs and a Summer Reading Club. Participates in the Peninsula Library System.","[]","","","Provides general reading materials and reference services.","SAMTRANS stops within 1 block."
"EKOCa7a6wpcozEcfygw7mclbK","uQGM9xK9waKG5xnC3wE1NhmO6","Project Read","","elevator,ramp,restroom,disabled_parking","0.0,0.0","Offers an intergenerational literacy program for youth and English-speaking adults seeking to improver literacy skills. Adult services include: adult one-to-one tutoring to improve basic skills in reading, writing and critical thinking; Families for Literacy (FFL), a home-based family literacy program for parents who want to be able to read to their young children; and small group/English as a Second Language (ESL). Youth services include: Youth Tutoring, Families in Partnership (FIP); Teen-to-Elementary Student Tutoring, Kids in Partnership (KIP); and computer-aided literacy. Redwood City Friends of Literacy is a fundraising board that helps to support and to fund Redwood City's Project Read. Call for more information about each service.","["rclread@redwoodcity.org"]","","","Offers an intergenerational literacy program for adults and youth seeking to improver literacy skills.","SAMTRANS stops within 1 block."
"tp7NdNScEYQd0Hex5jT61IRxA","uQGM9xK9waKG5xnC3wE1NhmO6","Redwood Shores Branch","","","0.0,0.0","Provides general reading materials, including large-type books, videos, music cassettes and CDs, and books on tape. Offers children's programs and a Summer Reading Club. Meeting room is available to nonprofit groups. Participates in the Peninsula Library System.","[]","","","Provides general reading materials and reference services.",""
"lIozhzFDigikZGAJ11zLX9PNC","9DSK0Sqtu67eYh46MFq9sIsMV","Redwood City Corps","","wheelchair","0.0,0.0","Provides food, clothing, bus tokens and shelter to individuals and families in times of crisis from the Redwood City Corps office and community centers throughout the county.   Administers Project REACH (Relief for Energy Assistance through Community Help) funds to prevent energy shut-off through a one-time payment. Counseling and translation services (English/Spanish) are available either on a walk-in basis or by appointment. Rental assistance with available funds. Another office (described separately) is located at 409 South Spruce Avenue, South San Francisco (650-266-4591).","[]","","","Provides a variety of emergency services to low-income persons. Also sponsors recreational and educational activities.","SAMTRANS stops nearby."
"Kr7pM0aUYZphdACgE9DGgLqIi","9DSK0Sqtu67eYh46MFq9sIsMV","Adult Rehabilitation Center","","wheelchair","0.0,0.0","Provides a long-term (6-12 month) residential rehabilitation program for men and women with substance abuse and other problems. Residents receive individual counseling, and drug and alcohol education. The spiritual side of recovery is address_attributesed through chapel services and Bible study as well as 12-step programs. Nicotine cessation is a part of the program.   Residents must be physically able to work, seeking treatment for substance abuse, sober long enough to pass urine drug screen before entering and agreeable to participating in weekly 12-step programs such as Alcoholics Anonymous or Narcotics Anonymous. Pinehurst Lodge is a separate facility for women only. Transition houses for men and women graduates also available.","[]","","","Long-term (6-12 month) residential treatment program for men/women age 21-60.","MUNI - 26 Valencia, Mission Street lines."
"mOHscXCyAcj4s8MVyaOyP9H6p","9DSK0Sqtu67eYh46MFq9sIsMV","Sunnyvale Corps","","","0.0,0.0","Provides emergency assistance including food and clothing for persons in immediate need. Provides PG&E assistance through REACH program. Youth programs offer tutoring, music and troops. Information on related resources is available. Also provides rental assistance when funds are available.","["william_nichols@usw.salvationarmy.org"]","","","Provides emergency assistance to persons in immediate need and offers after school activities and summer day camp program.","VTA stops within 4 blocks."
"55FIeVtGwfylxpQ1MLmpvGVqE","9DSK0Sqtu67eYh46MFq9sIsMV","South San Francisco Citadel Corps","","wheelchair","0.0,0.0","Provides emergency food, clothing and furniture vouchers to low-income families in times of crisis.   Administers Project REACH (Relief for Energy Assistance through Community Help) funds to prevent energy shut-off through a one-time payment. Offers a Saturday morning Homeless Feeding Program at 10:30, as well as Sunday services and spiritual counseling. Provides Christmas toys and Back-to-School clothes and supplies. Offers case management, advocacy and referrals to other agencies.","[]","","","Provides emergency food and clothing and furniture vouchers to low-income families in times of crisis.","SAMTRANS stops within 1 block, BART stops within 3 blocks."
"OkD9SQLaGfPdTErYXhvCfN1Yx","NNvjXszsAzytGIjNEO4TfZId2","Redwood City Free Medical Clinic","","restroom,wheelchair","0.0,0.0","Provides free medical care to those in need. Offers basic medical exams for adults and tuberculosis screening. Assists the individual to access other services in the community. By appointment only, Project Smile provides a free dental exam, dental cleaning and oral hygiene instruction for children, age 3-12, of Samaritan House clients.","["gracie@samaritanhouse.com"]","","","Provides free medical care to those in need.","SAMTRANS stops within 2 blocks."
"xxCxI4War0gabyCKqEi0qD4vg","NNvjXszsAzytGIjNEO4TfZId2","San Mateo Free Medical Clinic","","elevator,ramp,wheelchair","0.0,0.0","Provides free medical and dental care to those in need. Offers basic medical care for adults.","["smcmed@samaritanhouse.com"]","","","Provides free medical and dental care to those in need. Offers basic medical care for adults.","SAMTRANS stops within 1 block."
"TIp5zL9HeDicfd6eEDad1zm5D","wbmK1iaFF0x78pmB0V7RGRYLj","Location with no phone","","","0.0,0.0","no phone","[]","","","no phone",""
"uOw0Jt3hPpggnSaFkHR9KhNS6","Lyu6UZX5XWh5w5t8eZR0WsMvi","Admin Test Location","","elevator,restroom","0.0,0.0","This is a description","["eml@example.org"]","","","This is a short description","SAMTRANS stops within 1/2 mile."
