service_id,organization_id,location_id,audience,description,eligibility,fees,keywords,how_to_apply,wait,name,service_areas,short_desc,service_languages,service_hours,wait,method_of_payment
"7Xur93n1dGSSCvhELrEBSyz93","o5KjUU75Odcv9uWG5NnWHP6cb","Lf8PJ9dQhHUmHNtNba8LxRfXo","Older adults age 55 or over, ethnic minorities and low-income persons","Age 55 or over for most programs, age 60 or over for lunch program","$2.50 suggested donation for lunch for age 60 or over, donations for other services appreciated. Cash and checks accepted.","ADULT PROTECTION AND CARE SERVICES,Meal Sites/Home-delivered Mea,COMMUNITY SERVICES,Group Support,Information and Referral,EDUCATION SERVICES,English Language,RECREATION/LEISURE SERVICES,Arts and Crafts,Sports/Games/Exercise,Brown Bag Food Programs,Congregate Meals/Nutrition Sites,Senior Centers,Older Adults","Walk in or apply by phone.","","Redwood City","","","","No wait.",""
"pFmPpDcjxxkHWUqAjl5MQYDST","uQGM9xK9waKG5xnC3wE1NhmO6","EKOCa7a6wpcozEcfygw7mclbK","Adults, parents, children in 1st-12th grades in the Redwood City school districta","English-speaking adult reading at or below 7th grade level or child in 1st-12th grade in the Redwood City school districts","None.","EDUCATION SERVICES,Adult,Alternative,Literacy,Literacy Programs,Libraries,Public Libraries,Youth","Walk in or apply by phone, email or webpage registration.","","Redwood City","","","","Depends on availability of tutors for small groups and one-on-one.",""
"Zgn7rRCNo9sQvRgGazeqVWTZc","uQGM9xK9waKG5xnC3wE1NhmO6","tp7NdNScEYQd0Hex5jT61IRxA","","Resident of California to obtain a library card","None.","EDUCATION SERVICES,Library,Libraries,Public Libraries","Walk in. Proof of California residency required to receive a library card.","","San Mateo County","","","","No wait.",""
"WEEJtZZyP5uk9xtod7nX6Njii","9DSK0Sqtu67eYh46MFq9sIsMV","lIozhzFDigikZGAJ11zLX9PNC","Individuals or families with low or no income and/or trying to obtain public assistance","None for most services. For emergency assistance, must have low or no income and be willing to apply for public assistance","None.","COMMUNITY SERVICES,Interpretation/Translation,EMERGENCY SERVICES,Shelter/Refuge,FINANCIAL ASSISTANCE SERVICES,Utilities,MENTAL HEALTH SERVICES,Individual/Group Counseling,Food Pantries,Homeless Shelter,Rental Deposit Assistance,Utility Service Payment Assistance","Call for appointment. Referral from human service professional preferred for emergency assistance.","","Atherton,Belmont,Burlingame,East Palo Alto,Foster City,Menlo Park,Palo Alto,Portola Valley,Redwood City,San Carlos,San Mateo,Woodside","","","","Up to 20 minutes.",""
"m39SxTk3Ky9rH2v8KxlR1rvWK","9DSK0Sqtu67eYh46MFq9sIsMV","Kr7pM0aUYZphdACgE9DGgLqIi","Adult alcoholic/drug addictive men and women with social and spiritual problems","Age 21-60, detoxed, physically able and willing to participate in a work therapy program","None.","ALCOHOLISM SERVICES,Residential Care,DRUG ABUSE SERVICES","Walk in or through other agency referral.","","Alameda County,Contra Costa County,Marin County,San Francisco County,San Mateo County,Santa Clara County,Northern California","","","","Varies according to available beds for men and women. Women have a longer wait due to small number of beds statewide.",""
"TV4DyZKDrJ20zM0nuNn20JVxc","9DSK0Sqtu67eYh46MFq9sIsMV","mOHscXCyAcj4s8MVyaOyP9H6p","","None for emergency assistance","None for emergency services. Vary for after school activities. Cash and checks accepted.","COMMODITY SERVICES,Clothing/Personal Items,CHILD PROTECTION AND CARE SERVICES,Day Care,COMMUNITY SERVICES,Information and Referral,EMERGENCY SERVICES,Food Boxes/Food Vouchers,FINANCIAL ASSISTANCE SERVICES,Utilities,RECREATION/LEISURE SERVICES,Camping,Emergency Food,Clothing,Utility Assistance,Youth Development","Walk in. Written application, identification required for emergency assistance.","","Los Altos,Mountain View,Sunnyvale","","","","No wait.",""
"2dtyduKHZX2wwlMDz1OfH7FfJ","9DSK0Sqtu67eYh46MFq9sIsMV","55FIeVtGwfylxpQ1MLmpvGVqE","","Low-income families","None.","COMMODITY SERVICES,Clothing/Personal Items,COMMUNITY SERVICES,Information and Referral,EMERGENCY SERVICES,Food Boxes/Food Vouchers,FINANCIAL ASSISTANCE SERVICES,Utilities,Emergency Food,Food Pantries,Furniture,Clothing,Utility Assistance,School Supplies,Case/Care Management,Holiday Programs,Pastoral Counseling,Low Income","Call for information.","","Brisbane,Colma,Daly City,Millbrae,Pacifica,San Bruno,South San Francisco","","","","",""
"19TxUKunuTqlYByhGcLl1mQwW","NNvjXszsAzytGIjNEO4TfZId2","OkD9SQLaGfPdTErYXhvCfN1Yx","","Low-income person without access to health care","None.","HEALTH SERVICES,Outpatient Care,Community Clinics","Call for screening appointment. Medical visits are by appointment only.","","Atherton,East Palo Alto,Menlo Park,Redwood City,San Carlos","","","","Varies.",""
"AK2l8EnDm4998esJtE47gto8u","NNvjXszsAzytGIjNEO4TfZId2","xxCxI4War0gabyCKqEi0qD4vg","","Low-income person without access to health care","None.","HEALTH SERVICES,Outpatient Care,Community Clinics","Call for screening appointment (650-347-3648).","","Belmont,Burlingame,Foster City,Millbrae,San Carlos,San Mateo","","","","Varies.",""
"GYXWDcKOVlAAcvr75rZdTWohT","wbmK1iaFF0x78pmB0V7RGRYLj","TIp5zL9HeDicfd6eEDad1zm5D","","","","","","","","","","","",""
"X5aNA879rosyjAhrZius9xW4n","Lyu6UZX5XWh5w5t8eZR0WsMvi","uOw0Jt3hPpggnSaFkHR9KhNS6","","","","","","","San Mateo County","","","","",""
